Date,Price,Open,High,Low,Volume,Chg%,VIX
"Nov 27, 2014","18,022.50","17,988.70","18,054.65","17,898.40",44.02M,0.26%,12.74
"Nov 26, 2014","17,975.95","17,914.35","18,128.15","17,890.85",32.39M,-0.34%,12.99
"Nov 25, 2014","18,037.05","18,261.95","18,261.95","17,992.50",57.61M,-1.34%,13.53
"Nov 24, 2014","18,281.95","18,128.60","18,313.10","18,119.65",40.44M,1.25%,13.02
"Nov 21, 2014","18,056.30","17,767.75","18,139.95","17,716.65",56.33M,2.33%,13.85
"Nov 20, 2014","17,645.05","17,649.35","17,681.80","17,546.70",38.06M,0.34%,14.17
"Nov 19, 2014","17,585.65","17,739.20","17,745.70","17,557.10",19.84M,-0.66%,14.35
"Nov 18, 2014","17,702.55","17,672.85","17,750.25","17,601.15",24.17M,0.35%,14.07
"Nov 17, 2014","17,640.40","17,571.70","17,676.60","17,469.25",26.93M,0.36%,14.41
"Nov 14, 2014","17,576.80","17,460.55","17,601.15","17,410.50",27.02M,0.71%,13.97
"Nov 13, 2014","17,453.00","17,645.30","17,651.00","17,389.65",23.66M,-0.76%,13.80
"Nov 12, 2014","17,587.05","17,461.45","17,635.90","17,453.45",27.09M,1.13%,14.44
"Nov 11, 2014","17,390.20","17,266.25","17,434.15","17,220.45",22.49M,0.74%,14.80
"Nov 10, 2014","17,262.40","17,364.65","17,412.00","17,203.00",18.62M,-0.49%,13.93
"Nov 07, 2014","17,347.05","17,366.85","17,383.60","17,202.20",27.54M,-0.03%,14.11
"Nov 05, 2014","17,352.95","17,201.45","17,425.20","17,157.80",26.88M,1.28%,13.76
"Nov 03, 2014","17,134.10","17,087.00","17,168.40","16,934.85",27.95M,0.52%,13.74
"Oct 31, 2014","17,045.05","16,812.45","17,060.15","16,783.65",30.07M,1.70%,13.30
"Oct 30, 2014","16,760.05","16,606.50","16,776.35","16,561.35",32.01M,0.76%,13.27
"Oct 29, 2014","16,634.05","16,770.20","16,770.20","16,596.25",19.02M,-0.20%,13.01
"Oct 28, 2014","16,667.00","16,607.50","16,702.30","16,607.50",18.06M,0.67%,13.32
"Oct 27, 2014","16,556.60","16,538.90","16,664.30","16,470.85",22.94M,0.53%,13.52
