Date,IndexFutNet,IndexOptNet
7/24/2018,-35.33,471.61
7/23/2018,-603.54,-17.95
7/20/2018,-985.49,594.26
7/19/2018,1079.67,110.34
7/18/2018,357.94,-601.65
7/17/2018,-375.85,268.61
7/16/2018,595.11,-464.88
7/13/2018,1459.29,517.27
7/12/2018,581.73,1164.94
7/11/2018,708.07,766.38
7/10/2018,1771.35,294.75
7/9/2018,869.53,-90.77
7/6/2018,155.85,479.89
7/5/2018,704.32,192.34
7/4/2018,-549.82,93.85
7/3/2018,47.08,480.64
7/2/2018,-349.84,459.04
6/29/2018,1442.66,102.96
6/28/2018,-2694.29,1435.17
6/27/2018,10.04,194.14
6/26/2018,-118.44,301.23
6/25/2018,-1481.82,-323.83
6/22/2018,-66.77,66.01
6/21/2018,267.81,-105.54
6/20/2018,-1247.28,574.75
6/19/2018,-710.35,-282.13
6/18/2018,-576.07,-157.56
6/15/2018,603.91,385.12
6/14/2018,-1303.79,-674.95
6/13/2018,-297.48,88.33
6/12/2018,-494.32,445.05
6/11/2018,472.39,86.41
6/8/2018,-852.69,127.31
6/7/2018,100.70,694.00
6/6/2018,-491.48,313.69
6/5/2018,-498.90,-828.17
6/4/2018,553.49,-1587.03
6/1/2018,-214.51,152.50
5/31/2018,-643.06,1207.72
5/30/2018,-832.29,270.15
5/29/2018,-336.06,406.52
5/28/2018,479.59,438.45
5/25/2018,538.42,406.68
5/24/2018,-371.08,389.90
5/23/2018,-1740.00,158.97
5/22/2018,-808.29,-20.01
5/21/2018,-673.09,-520.28
5/18/2018,-1434.31,-240.29
5/17/2018,-29.67,-243.54
5/16/2018,-636.83,-397.05
5/15/2018,660.16,-145.31
5/14/2018,200.85,117.92
5/11/2018,863.59,560.26
5/10/2018,110.53,-317.79
5/9/2018,216.75,109.66
5/8/2018,-94.45,460.77
5/7/2018,104.50,647.63
5/4/2018,-493.01,-255.28
5/3/2018,578.35,74.24
5/2/2018,-325.01,-476.87
4/30/2018,229.40,-391.91
4/27/2018,669.11,1108.72
4/26/2018,761.71,1540.78
4/25/2018,163.01,318.90
4/24/2018,274.81,-65.43
4/23/2018,176.56,-130.49
4/20/2018,199.71,-425.40
4/19/2018,791.62,264.37
4/18/2018,2319.75,-188.47
4/17/2018,236.63,-431.88
4/16/2018,-18.41,37.75
4/13/2018,-248.69,835.71
4/12/2018,315.26,245.03
4/11/2018,620.05,-201.21
4/10/2018,1120.36,494.18
4/9/2018,-231.86,-458.12
4/6/2018,-207.71,-58.52
4/5/2018,1194.77,1378.67
4/4/2018,-1152.20,59.01
4/3/2018,578.35,74.24
4/2/2018,59.75,1172.80
3/28/2018,-971.48,1115.24
3/27/2018,355.10,575.38
3/26/2018,-2014.68,-38.96
3/23/2018,-2010.13,-239.44
3/22/2018,224.29,611.22
3/21/2018,-1291.98,1244.70
3/20/2018,-1516.47,797.22
3/19/2018,-31.19,-323.52
3/16/2018,-2221.57,-269.56
3/15/2018,-732.82,-678.39
3/14/2018,-218.45,-308.54
3/13/2018,-242.43,165.20
3/12/2018,2397.62,982.20
3/9/2018,235.10,89.78
3/8/2018,324.71,373.78
3/7/2018,377.22,353.63
3/6/2018,510.64,709.37
3/5/2018,-1487.85,-472.72
3/1/2018,-667.70,-268.43
2/28/2018,-353.29,363.22
2/27/2018,783.31,428.07
2/26/2018,1036.44,344.09
2/23/2018,-694.44,1292.35
2/22/2018,-1746.11,1687.15
2/21/2018,626.85,1239.35
2/20/2018,-1832.27,1011.94
2/19/2018,-1153.01,408.23
2/16/2018,-66.15,-174.73
2/15/2018,536.86,547.87
2/14/2018,1039.41,98.07
2/12/2018,-1481.12,37.62
2/9/2018,-2557.58,-647.63
2/8/2018,244.35,1302.41
2/7/2018,-1751.08,1242.24
2/6/2018,-1638.24,1436.63
2/5/2018,-554.75,596.54
2/2/2018,-1988.30,700.72
2/1/2018,-168.55,752.84
1/31/2018,-83.71,-752.46
1/30/2018,-1440.52,686.52
1/29/2018,-217.38,1009.15
1/25/2018,3944.96,1116.43
1/24/2018,1257.88,-647.39
1/23/2018,574.15,972.77
1/22/2018,-1804.37,1077.01
1/19/2018,-26.00,1309.84
1/18/2018,679.38,1841.68
1/17/2018,-667.18,1876.42
1/16/2018,-37.21,881.80
1/15/2018,-554.38,1670.65
1/12/2018,53.66,1086.38
1/11/2018,-1186.34,152.74
1/10/2018,-241.69,317.90
1/9/2018,291.66,360.30
1/8/2018,205.02,-33.42
1/5/2018,-1201.49,90.70
1/4/2018,-448.21,-108.20
1/3/2018,-1011.17,41.43
1/2/2018,-1030.26,-415.61
1/1/2018,-187.96,-326.91
12/29/2017,928.97,521.81
12/28/2017,1621.41,-1476.28
